Floor_Num,Total_Floor_Area,Column_Area,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
4,1112,4.28,0,0,2
4,802,3.6675,0,0,4
4,772,0.68,0,0,4
4,711,3.475,0,0,2
3.5,3131,7.8,4.12,0,2
5,509,2.58,0,0,2
5,832,3.84,0,0,2
6,19738,10.84,0,0,2
4,771,3.96,0,0,4
4,985,3.24,0,0,4
4,890,3.998,0,0,2
4,654,3.24,0,0,2
4,700,3,0,0,2
4,879,3.4,0,0,3
4,862,3.8,0,0,3
4,513,3.2,0,0,2
2,169,,0,0,1
6,3160,9.7,3,0,4
2,168,0.5,0.5,0,3
2,642,1.6,2.9,1,2
2,174,0.9,0.7,0,2
3,307,0.9,3.1,0,3
4,430,1.4,0.8,1,4
4,570,3,2.3,0,3
2,599,3.7,3,0,4
5,1026,2.8,3.7,1,4
4,3169,5,4.3,0,4
3,327,2.2,1.1,0,3
3,477,1.9,1.2,0,4
2,339,2.2,4,0,2
1,114,1,0.9,0,3
3,417,1.8,0.7,1,4
2,897,2.2,1.7,0,4
3,726,3,1.9,0,4
3,144,0.5,0.5,0,3
2,88,0.4,0.3,0,3
4,824,2.8,4.5,0,4
1,96,0.7,0.7,0,4
3,1566,5.4,6.1,1,4
1,1027,3.6,7.2,1,2
2,657,2.2,5.3,1,3
2,623,3.3,5.2,1,2
2,702,2.8,6.5,1,4
2,635,2.3,3.1,0,4
2,226,1.4,2.7,1,2
2,314,2,3.9,1,2
3,688,1.1,2.7,1,4
3,676,1.1,2.8,1,3
3,852,1.7,0,1,4
4,874,3,2.1,1,4
3,688,1.7,0,1,2
3,712,5,0,1,2
5,1310,3.2,1.9,0,4
2,328,1.6,1.7,1,4
2,86,0.6,4.1,1,4
2,323,0.6,0.4,1,2
1,258,0.8,7.9,1,4
2,356,2.4,3.4,1,3
1,164,1.4,2.1,1,2
3,813,2.3,4.1,0,4
3,197,1,0.5,0,2
2,276,1.5,0.8,0,4
4,719,1.9,3.4,0,4
6,1098,3.7,6.2,1,4
4,1433,3.4,5.8,1,4
2,315,1.2,0,1,4
2,272,1.1,1.7,1,3
2,232,1.1,1.3,1,3
2,437,1.7,0,1,4
2,346,2.1,1.4,1,3
2,312,2,0,1,3
2,290,2,1.5,1,3
5,1242,2.9,1.3,1,3
6,1545,5.3,1.3,0,4
3,537,1.8,0,1,2
3,514,2.2,1.2,0,2
3,1425,4.3,3.2,0,3
4,238,1,0,1,3
5,299,1.2,1,0,2
5,387,0.9,1.4,0,2
5,414,1.3,0.3,0,4
6,3160,9.7,3,0,4
2,155,1.4,2.1,0,2
2,731,3.1,2,0,2
5,305,2.4,1.4,0,4
2,324,1.5,2.2,0,2
3,266,1.6,8.2,0,2
2,315,1.4,1,0,2
2,418,3.2,1.4,0,2
5,657,3.6,2,0,3
4,656,2,1.2,0,3
3,246,1.8,7.6,0,4
5,583,1.8,1.1,0,4
3,388,1.8,1.1,1,4
6,1333,3,0.1,0,4
4,493,1.4,1.4,0,4
3,792,3.2,2.7,1,4
3,460,1.4,1.8,0,4
2,175,0.8,1.1,0,3
2,459,3.6,1.4,1,2
1,223,1.7,0,1,2
3,1031,3.5,2.4,1,4
3,762,2.1,0,1,2
2,864,2.3,5,1,2
2,947,2.7,5.1,0,2
1,184,1.4,0.3,1,2
2,459,1.8,0.8,1,2
1,231,1.8,0,1,2
2,292,2,2.4,1,2
3,689,2.1,0,1,2
3,663,4.2,1.9,1,4
3,1105,4.8,2.3,1,4
3,965,3.8,1.9,1,4
3,704,1.7,0,1,3
3,700,2.1,0,1,2
3,688,1.7,2.6,1,2
2,672,2.3,0,1,4
2,362,2.2,0,1,2
2,443,1.7,0.4,1,2
1,221,1.7,3,1,4
2,699,2.1,1.7,1,4
3,672,1.7,0,1,2
2,317,1.2,0,1,2
2,451,1.8,3.4,1,2
2,292,2,0,1,2
1,159,1.3,1.2,1,2
4,550,1.2,1.5,0,4
3,325,1.4,0,0,4
5,625,1.6,1.2,0,4
2,572,2.3,0.6,1,4
6,1781,5.6,1.2,1,3
3,514,1.6,1.5,1,4
1,175,1.2,0,1,3
1,183,2.2,4.2,0,2
3,889,2.2,2.8,1,4
3,254,0.4,1.5,0,4
2,270,1.2,2.5,0,2
2,330,1.1,1.5,0,4
6,3160,9.7,3,0,4
4,301,1.5,0.4,0,3
3,603,1.7,2.6,0,3
3,827,1.4,4.9,0,3
3,447,1.2,0.5,0,4
5,1240,0.9,2.4,0,4
2,278,1.5,1,0,4
3,277,1,0.7,0,3
3,275,1.6,1,0,4
3,343,1,0.9,0,4
4,205,1.2,1.3,0,3
4,3169,5,4.3,0,4
3,412,0.94,1.3,0,4
4,374,1.9,1.5,0,3
3,245,1.3,0.4,0,3
2,350,1.1,2.7,1,2
1,259,1.3,1.8,1,4
3,996,3.5,0.4,1,4
2,551,1.4,4.9,0,4
3,850,1.9,3.7,1,4
3,437,1.1,2.5,1,4
3,799,2,0.8,1,4
3,704,1.8,0,0,2
3,680,1.8,2.7,1,4
3,619,1.6,2.8,1,4
3,594,1.9,0.3,1,3
3,523,1.3,2.7,1,2
4,523,2.6,3,1,2
2,403,1.5,2.7,1,2
3,705,1.7,2.3,1,4
1,413,4.2,12.3,1,3
2,357,1,2.2,1,3
2,429,1.7,0.4,1,2
2,429,1.7,3.3,1,2
3,339,1.4,3,1,4
2,162,0.8,0.3,0,3
5,1438,8.6,1.5,0,4
4,1428,3.4,5.8,0,4
4,356,0.6,0.8,0,2
4,1424,4.1,6.8,0,3
2,108,0.9,2,0,4
2,2606,8.8,6.6,0,3
3,903,2.3,6.2,0,4
6,2094,3.6,1.1,0,3
2,105,1.1,1.2,0,2
2,205,1.8,1.8,0,3
2,199,0.8,1.5,0,3
3,322,0.8,2.7,0,4
3,442,1,1.5,0,4
3,464,0.9,0.7,0,3
2,156,0.9,1.4,0,2
6,1736,4.99,3.19,1,1
2.5,219,0.84,0,1,1
2,159,0.84,0.72,1,1
2,159,0.84,0.72,1,1
3,201,0.84,0,1,1
2.5,177,0.84,0,1,1
5.5,440,0.84,0.21,0,4
6,710,1.24,0.93,0,2
3,461,1.7,7.54,0,1
5,443,1.21,2.15,0,2
4.5,1225,1.62,0.34,0,4
4,479,0.84,1.74,0,4
3.5,1859,5.02,17.02,1,4
6,377,1.05,0.31,0,1
4,408,1.74,1.23,0,3
4,424,2.23,1.93,0,3
4,352,1.05,4.45,0,4
3,106,0.84,0,0,1
5.5,715,0.94,0,0,4
6,834,1.41,1.35,0,4
5.5,299,0.77,2.74,0,4
4.5,234,0.63,2.21,0,2
5.5,789,1.86,0,0,4
4.5,338,1.39,1.44,0,4
7.5,946,1.11,4.61,0,4
4.5,290,0.57,2.33,0,3
6,1498,2.3,1.11,0,4
4,403,1.05,0,0,1
5.5,870,1.46,0,0,4
6,486,0.84,0.3,0,4
5,418,0.84,0.31,0,4
5,801,1.33,0,0,4
6,729,1.25,0.49,1,2
5.5,248,0.63,1.12,0,2
5.5,510,1.11,1.85,0,1
5,496,1.11,0,0,4
3.5,369,0.78,1.73,1,4
3,306,0.78,0,1,3
5.5,532,1.05,1.34,1,1
6.5,818,1.25,0.55,1,4
6.5,818,1.25,0.55,1,4
6.5,1623,2.3,1.11,1,4
3,160,1.03,0,0,4
5.5,478,0.77,0,0,3
4,1752,3,4.68,0,1
5,495,1.24,0.97,0,2
7,771,1.04,3.06,0,4
1.5,147,1.67,2.55,0,1
3,371,1.08,5.25,0,1
6,1498,2.3,1.11,0,4
3.5,207,1.02,3.76,0,4
3.5,232,0.63,2.97,0,4
3.5,447,1.01,2.88,0,4
3.5,211,0.63,0.84,0,2
3.5,170,0.84,1.68,0,4
3.5,75,0.42,0.82,0,4
3,110,0.63,0,0,2
3,168,0.77,1.38,1,2
4,298,0.84,3.73,1,2
3,176,0.63,0,1,4
4,253,0.91,0.62,1,4
4,322,1.11,0.6,1,1
2,121,0.63,0.75,0,2
6,634,1.18,0,0,4
4.5,249,0.63,0.2,1,4
5.5,1482,2.23,0,1,4
2.5,301,1.18,1.5,0,1
3.5,219,0.57,0,0,1
3,190,0.63,1.36,0,1
3,210,0.73,0,0,1
2.5,132,0.63,0,0,1
5,582,0.99,1.22,0,4
